,Time,Tweet,User,Location,Retweets,Likes
71,2022-11-23 16:22:37+00:00,WOW: JD Vance Stuns with Epic Election Victory https://t.co/ymJytEk9Ik,purplepismire,"Missouri, USA",0,0
72,2022-11-23 16:13:46+00:00,"@OSU_AD When Ohio elects people Gym Jordan and JD Vance to represent them, America has a pretty good idea of what Ohio's values...",ThePKG,"Massachusetts, USA",0,2
73,2022-11-23 16:12:17+00:00,"@SummerSmith80 @JamelJackson10 @RonFilipkowski This seems to be the Republican’s game plan:  put unqualified, easily controlled dupes in positions of power. Ergo, MTG, LoBo, Amy Coney Barrett, JD Vance, Kari Lake, Hershel….",HelloDearVoid,,0,1
74,2022-11-23 16:08:21+00:00,@jp262 I imagine we’re done seeing carpet bagger JD Vance. Even though he won.,VWAimlessly,Wandering Aimlessly,0,2
75,2022-11-23 16:02:02+00:00,JD Vance is a perfect example of the stupidity of GOP voters in Ohio. https://t.co/ILXaXvx2zp,rgpenny1,"San Antonio, TX",0,0
76,2022-11-23 15:50:17+00:00,@realtonysm1th @thefactualprep Read the American Con article on if Ohio is ready for JD Vance,Coolapple28,"San Francisco, CA",0,0
77,2022-11-23 15:46:33+00:00,"@mtsw also, JD fucking Vance!",cmophosho,,0,0
78,2022-11-23 15:42:36+00:00,@KenNYbUnchained @thehill MAGA GOP JD Vance won by 7 points. Non-MAGA GOP Mike DeWine won by 25 points. Republicans lost House seats in Ohio. No I am not making anything up lol,teddy_willard,,0,0
79,2022-11-23 15:40:59+00:00,"@teddy_willard @thehill What? Are you just making things up as you go??

October 2022

https://t.co/rsEVNlWtAf

November 8th
https://t.co/exm4nNr3cm",KenNYbUnchained,,0,0
80,2022-11-23 15:37:49+00:00,"@KenNYbUnchained @thehill The Republicans lost a lot of ground in Ohio including losing House seats. JD Vance dramatically underperformed Mike DeWine.

Florida, sure, except that was driven by DeSantis' popularity more than anything.",teddy_willard,,0,0
81,2022-11-23 15:36:45+00:00,"@KenNYbUnchained @thehill Non-MAGA GOP overperformed MAGA GOP statewide pretty much everywhere. In Georgia, Brad Raffensperger, who Trump hates won by a landslide, while Herschel Walker barely made a runoff. In Ohio, Mike DeWine did way better than JD Vance. Just a couple of many examples there.",teddy_willard,,0,0
82,2022-11-23 15:31:59+00:00,RT @capitolhunters: Thiel and Sacks both own social media sites now. Thiel’s Rumble is for the alt-right; it also hosts Trump’s Truth Socia…,people_NOTcorps,United States,163,0
83,2022-11-23 15:23:54+00:00,JD Vance is making a fool of himself already - Palmer Report https://t.co/ctoMiPlKVm,rep4bettergovt,Planet Earth,0,0
84,2022-11-23 15:21:08+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,SalVadacchino1,"🇨🇦 Montréal, Québec 🇨🇦",79,0
85,2022-11-23 15:18:26+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,peteralanwaller,"Kingston,  Ontario Canada",79,0
86,2022-11-23 15:03:04+00:00,"Big night for DeSantis.

Otherwise no red wave.

Senate likely holds, House flips.

Crypto wins three new GOP Senators in JD Vance, Ted Budd, Markwayne Mullin (and maybe Katie Britt?)",Brittnyellen,Australia,0,0
87,2022-11-23 14:43:34+00:00,"RT @RDispatches: ""Masters’ &amp; Vance’s policies &amp; their extreme stances are similar, sometimes interchangeable,"" writes @ardenthistorian. ""Pa…",abrashTX,Tonkawa and Comanche land,3,0
88,2022-11-23 14:42:37+00:00,"@PamKeithFL I agree with you. The DNC and DCCC ONLY interest is bowing to their corp and rich donors.  They gave millions to the Maga candidates, and those who refuse to take PAC money they let the JD Vance's win.  Disgusting! Clean house !",lady26611236,,0,0
89,2022-11-23 14:38:42+00:00,"RT @RDispatches: ""Masters’ &amp; Vance’s policies &amp; their extreme stances are similar, sometimes interchangeable,"" writes @ardenthistorian. ""Pa…",prof_gabriele,"Virginia, USA",3,0
90,2022-11-23 14:38:00+00:00,"""Masters’ &amp; Vance’s policies &amp; their extreme stances are similar, sometimes interchangeable,"" writes @ardenthistorian. ""Part of the answer [to Vance's victory] may lie not so much in their policies, but in the different types of fascism that they espouse."" https://t.co/PLGqt9ZjXL",RDispatches,"Somerville, MA",3,2
91,2022-11-23 14:30:00+00:00,"“I’ve never heard him say anything about Israel,” said one conservative foreign policy leader who has conversed with Thiel about a diversity of subjects. “And Thiel is someone who likes to speak his mind.” @matthewkassel
reports.

https://t.co/A79ZCo8Yal",J_Insider,,0,0
92,2022-11-23 14:22:58+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,Jackpotjackie22,"Pennsylvania, USA",79,0
93,2022-11-23 14:19:25+00:00,"@tomiahonen I’ve heard many people say, incoming Ohio Senator JD Vance, is The fake hillbilly Opioid King from San Francisco.",JGuzowski,,0,0
94,2022-11-23 13:57:29+00:00,JD Vance is making a fool of himself already https://t.co/wlSPQw9Ftd via @PalmerReport,cliffhangerCA,California,0,0
95,2022-11-23 13:51:14+00:00,"RT @capitolhunters: Thiel’s neo-fascist set
How does your anti-elite pose square with your pathetic degree-grubbing? Thiel’s lapdog JD Vanc…",the00Cima,,584,0
96,2022-11-23 13:49:36+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,Gemini_iam2,,79,0
97,2022-11-23 13:39:54+00:00,"@JamesBradleyCA JD Vance win and Herschel Walker runoff is proof that you really can run a turd 💩, not even polished, and people will vote for it.",jpasanello,"NY, Kent CT, CO, VA",0,0
98,2022-11-23 13:23:41+00:00,JD Vance is making a fool of himself already https://t.co/8Xghfmn35H via @PalmerReport,TsalagiOK,"Indian Country, Oklahoma",0,0
99,2022-11-23 13:08:12+00:00,JD Vance is making a fool of himself already https://t.co/AnNyNPg458 via @PalmerReport,Democrat4US,"Toledo, OH  USA",0,0
0,2022-11-23 23:58:30+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,JansInput,,13,0
1,2022-11-23 23:56:22+00:00,"RT @JHeslet: @marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; ru…",Oldword16,Here,57,0
2,2022-11-23 23:55:08+00:00,"RT @sarahkateellis: Raymond Green Vance (he/him)
Kelly Loving (she/her)
Daniel Aston (he/him)
Derrick Rump (he/him)
Ashley Paugh (she/ her)…",jd_perspective,"Orlando, FL",31,0
3,2022-11-23 23:48:15+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,ColleenPaige1,,13,0
4,2022-11-23 23:47:53+00:00,"@Roslynbooks @marceelias jd vance too, i think.",dbaerwald1,"MA, CA, WA, NY, MN, GA.",0,2
5,2022-11-23 23:44:20+00:00,"RT @JHeslet: @marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; ru…",BlazerJane,"Land of Deplorables, OH ",57,0
6,2022-11-23 23:40:20+00:00,"RT @JHeslet: @marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; ru…",ae4ca,"Brooklyn, NY",57,0
7,2022-11-23 23:38:13+00:00,"RT @JHeslet: @marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; ru…",Praise_the_Gord,"Kansas City, MO",57,0
